txn_id,customer_id,amount,failure_code,payment_method,is_subscription,hours_since_failure,retry_count,preferred_lang
TXN100000,CUST8918,497.0,card_declined,card,True,0.0,0,en
TXN100001,CUST9705,371.34,insufficient_funds,netbanking,True,0.0,0,hi
TXN100002,CUST4613,822.08,insufficient_funds,netbanking,False,0.0,0,en
TXN100003,CUST8497,1712.29,debit_instrument_blocked,wallet,False,0.0,0,en
TXN100004,CUST3241,391.53,card_declined,wallet,False,0.0,0,hi
TXN100005,CUST5866,539.87,insufficient_funds,wallet,False,0.0,0,en
TXN100006,CUST3178,751.36,do_not_honor,netbanking,False,0.0,0,en
TXN100007,CUST8052,1650.47,insufficient_funds,card,False,0.0,0,en
TXN100008,CUST1752,837.01,payment_timed_out,wallet,False,0.0,0,en
TXN100009,CUST8580,4475.87,payment_timed_out,wallet,False,0.0,0,hi
TXN100010,CUST3346,183.41,mandate_revoked,wallet,False,0.0,0,en
TXN100011,CUST3003,2491.39,debit_instrument_blocked,card,True,0.0,0,en
TXN100012,CUST7324,913.5,insufficient_funds,wallet,False,0.0,0,en
TXN100013,CUST8107,2625.84,insufficient_funds,upi,True,0.0,0,hi
TXN100014,CUST4239,11889.78,payment_timed_out,wallet,True,0.0,0,hi
TXN100015,CUST6272,1535.78,insufficient_funds,upi,False,0.0,0,en
TXN100016,CUST6355,2004.4,payment_timed_out,upi,False,0.0,0,en
TXN100017,CUST1735,3797.0,mandate_revoked,upi,False,0.0,0,en
TXN100018,CUST1564,436.68,debit_instrument_blocked,upi,False,0.0,0,hi
TXN100019,CUST1689,3191.86,card_declined,card,True,0.0,0,en
TXN100020,CUST1891,3723.26,payment_timed_out,netbanking,False,0.0,0,en
TXN100021,CUST7791,1438.62,mandate_revoked,netbanking,False,0.0,0,en
TXN100022,CUST2802,3169.31,card_declined,upi,True,0.0,0,hi
TXN100023,CUST3767,1876.03,mandate_revoked,card,False,0.0,0,en
TXN100024,CUST9974,769.26,mandate_revoked,card,False,0.0,0,hi
TXN100025,CUST8733,443.26,insufficient_funds,netbanking,False,0.0,0,en
TXN100026,CUST3830,4402.57,insufficient_funds,card,False,0.0,0,en
TXN100027,CUST7218,9794.92,do_not_honor,netbanking,False,0.0,0,en
TXN100028,CUST6738,752.33,insufficient_funds,card,False,0.0,0,en
TXN100029,CUST9278,2388.28,payment_timed_out,card,False,0.0,0,en
TXN100030,CUST6565,491.17,payment_timed_out,upi,False,0.0,0,en
TXN100031,CUST5916,1033.85,card_declined,wallet,False,0.0,0,hi
TXN100032,CUST8909,1008.78,insufficient_funds,netbanking,False,0.0,0,hi
TXN100033,CUST9554,530.32,payment_timed_out,card,True,0.0,0,en
TXN100034,CUST2446,1539.31,card_declined,upi,False,0.0,0,en
TXN100035,CUST1129,4474.35,insufficient_funds,upi,False,0.0,0,en
TXN100036,CUST2611,2908.96,payment_timed_out,netbanking,True,0.0,0,hi
TXN100037,CUST7192,991.72,card_declined,netbanking,True,0.0,0,en
TXN100038,CUST5898,6903.1,payment_timed_out,card,False,0.0,0,hi
TXN100039,CUST4219,2073.95,payment_timed_out,netbanking,False,0.0,0,en
TXN100040,CUST9130,10112.35,payment_timed_out,card,False,0.0,0,hi
TXN100041,CUST5346,452.33,insufficient_funds,netbanking,False,0.0,0,hi
TXN100042,CUST7002,34185.08,card_declined,netbanking,False,0.0,0,en
TXN100043,CUST5946,1403.05,insufficient_funds,netbanking,True,0.0,0,hi
TXN100044,CUST8365,513.42,card_declined,wallet,True,0.0,0,en
TXN100045,CUST6849,576.86,insufficient_funds,card,True,0.0,0,en
TXN100046,CUST3554,4263.11,card_declined,wallet,False,0.0,0,hi
TXN100047,CUST2408,4148.95,debit_instrument_blocked,upi,True,0.0,0,hi
TXN100048,CUST7027,3783.68,payment_timed_out,card,False,0.0,0,en
TXN100049,CUST5480,3087.67,insufficient_funds,wallet,True,0.0,0,hi
TXN100050,CUST3609,544.35,payment_timed_out,wallet,False,0.0,0,hi
TXN100051,CUST7345,1456.32,payment_timed_out,netbanking,False,0.0,0,en
TXN100052,CUST2664,166.56,card_declined,netbanking,True,0.0,0,en
TXN100053,CUST2529,702.32,insufficient_funds,upi,False,0.0,0,en
TXN100054,CUST3268,3294.82,insufficient_funds,wallet,False,0.0,0,en
TXN100055,CUST1547,257.9,debit_instrument_blocked,upi,False,0.0,0,en
TXN100056,CUST9139,18182.26,payment_timed_out,upi,True,0.0,0,en
TXN100057,CUST8424,6011.75,card_declined,card,False,0.0,0,hi
TXN100058,CUST5683,539.57,do_not_honor,wallet,False,0.0,0,en
TXN100059,CUST3907,3508.61,do_not_honor,netbanking,True,0.0,0,en
TXN100060,CUST9570,2967.6,debit_instrument_blocked,card,True,0.0,0,en
TXN100061,CUST3162,1483.23,payment_timed_out,wallet,False,0.0,0,en
TXN100062,CUST8533,3075.9,insufficient_funds,wallet,True,0.0,0,en
TXN100063,CUST3484,1307.3,insufficient_funds,upi,True,0.0,0,en
TXN100064,CUST2108,1676.74,payment_timed_out,netbanking,False,0.0,0,hi
TXN100065,CUST9384,2966.39,card_declined,netbanking,False,0.0,0,en
TXN100066,CUST3546,2778.41,card_declined,netbanking,False,0.0,0,en
TXN100067,CUST6735,2419.91,debit_instrument_blocked,wallet,False,0.0,0,en
TXN100068,CUST6351,2471.58,debit_instrument_blocked,card,False,0.0,0,en
TXN100069,CUST9379,4619.36,payment_timed_out,card,False,0.0,0,hi
